sep=,
From: 2026-01-01,Cid: 311035,To: 2026-06-30
Review ID,Submission date,AppID,AppName,Country,Review Language,Version,Author,Rating,Title,Review,Translated title,Translated review,Reply Date,Reply Delta,Developer Reply,User,Tags,Categories,Updated,Semantic Tags,Semantic Categories,Semantic Sentiment,Notes,Likes,Dislikes,Link,Permalink,AF Link,Device Name,VersionCode,OS
17e0afd3-0cb3-45c7-83a9-f4fd8aabcbf2,2026-06-28T00:01:33Z,com.linkdokter.halodoc.android,"Halodoc: Dokter, Obat & Lab",,id,,Wahyu Aini,3,,tolong dong dibantu masa setiap mau upload foto gabisa terus. kesel,,,2026-06-30T18:50:30Z,66:48:57,"Halo Wahyu Aini, terima kasih atas ulasannya dan mohon maaf atas keluhan yang dialami.

Kami ingin memahami lebih lanjut agar bisa segera memperbaikinya. Mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com. Sertakan juga nomor HP akun Halodoc dan/atau nomor pesanan.

Terima kasih.",,,,2026-08-20T10:39:41,,,Negative,,,,,https://appfollow.io/gp/2110/review/5743988317?s=global4,https://watch.appfollow.io/apps/my-first-workspace/reviews/256372?review_id=5743988317,,,
9d5c3a09-541b-44de-853c-784a1761a5f0,2026-06-13T15:14:49Z,com.linkdokter.halodoc.android,"Halodoc: Dokter, Obat & Lab",,id,,ristina tina,3,,"bagus sih, tapi pas konsul 30 menit itu menurutku kurang apalagi buat ke psikolog, yang belum tentu responya cepat, jadi waktunya habis duluan sebelum chatnya selesai",,,2026-06-13T15:23:50Z,00:09:01,"Halo Ristina Tina, terima kasih atas ulasannya dan mohon maaf atas keluhan yang dialami.

Kami ingin memahami lebih lanjut agar bisa segera memperbaikinya. Mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com. Sertakan juga nomor HP akun Halodoc dan/atau nomor pesanan.

Terima kasih.",,,,2026-08-20T10:39:33,,,Mixed,,,,,https://appfollow.io/gp/2110/review/5743987685?s=global4,https://watch.appfollow.io/apps/my-first-workspace/reviews/256372?review_id=5743987685,,,
f15cbf01-1f58-4930-92f0-817186234faa,2026-06-13T06:35:51Z,com.linkdokter.halodoc.android,"Halodoc: Dokter, Obat & Lab",,id,,Richard Efesus,3,,sering bermasalah pas pembayaran divirtual account sebelum update baik2 saja setelah update malah sering gk bs virtual accountnya,,,2026-06-13T08:05:58Z,01:30:07,"Halo Richard Efesus, terima kasih atas ulasannya!

Untuk membantu kami memberikan pelayanan yang lebih baik, apakah ada saran atau masukan? Sampaikan via DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com.

Terima kasih dan sehat selalu!",,,,2026-08-20T10:39:50,,,Mixed,,,,,https://appfollow.io/gp/2110/review/5743989357?s=global4,https://watch.appfollow.io/apps/my-first-workspace/reviews/256372?review_id=5743989357,,,
661e5b8d-e650-4fa0-b6eb-747e07ce9065,2026-06-07T13:59:10Z,com.linkdokter.halodoc.android,"Halodoc: Dokter, Obat & Lab",,id,,Verna Verna,3,,"app ini sangat membantu, tapi kalau ada kendala, ga ada customer service chat. harus email ataupun telepon. saat keadaan sedang sakit kita mau complain dokter dan aplikasi langsung dengan fitur chat lebih baik daripada harus telepon",,,2026-06-07T14:14:20Z,00:15:10,"Halo Verna Verna, terima kasih atas ulasannya dan mohon maaf atas keluhan yang dialami.

Kami ingin memahami lebih lanjut agar bisa segera memperbaikinya. Mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com. Sertakan juga nomor HP akun Halodoc dan/atau nomor pesanan.

Terima kasih.",,,,2026-08-20T10:39:33,,,Mixed,,,,,https://appfollow.io/gp/2110/review/5743987694?s=global4,https://watch.appfollow.io/apps/my-first-workspace/reviews/256372?review_id=5743987694,,,
dee0f382-b8e2-4a17-8f57-82083c379901,2026-06-04T03:22:28Z,com.linkdokter.halodoc.android,"Halodoc: Dokter, Obat & Lab",,id,,Dimas Christian,3,,"Driver pengantaran obat tidak proffesional. Tidak menggunakan sepatu jadi tidak mau masuk gedung. memilih membatalkan sepihak dari kurirnya. waktu saya terbuang. sudah cukup. ini terakhir kali saya pakai aplikasi halo doc. kurir tersebut dari medex. Sudah dikirim ulang oleh go send dan memuaskan untuk go sendnya. Jangan pakai medex lagi, gunakan go send saja 100%.",,,2026-06-04T03:01:50Z,,"Halo Dimas Christian, mohon maaf atas keluhan yang dialami. Kami sedang berupaya memperbaikinya secepatnya. Jika masih butuh bantuan atau ingin menindaklanjuti, mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com detail kendalamu, termasuk nomor HP akun Halodoc dan/atau nomor pesanan. Terima kasih.",,,,2026-08-20T10:39:33,,,Negative,,,,,https://appfollow.io/gp/2110/review/5743987698?s=global4,https://watch.appfollow.io/apps/my-first-workspace/reviews/256372?review_id=5743987698,,,
69c87a75-1abc-4b79-b90d-5063b7e02fa1,2026-06-02T15:01:33Z,com.linkdokter.halodoc.android,"Halodoc: Dokter, Obat & Lab",,id,,thv. gf,3,,"Pengalaman konsultasinya cukup baik, tetapi saya mengalami kendala pada fitur chat. Pesan yang saya kirim tidak terkirim dan hanya menampilkan ikon jam dalam waktu yang cukup lama, padahal koneksi internet saya saat itu dalam kondisi baik. Menurut saya hal ini cukup mengganggu karena konsultasi bersifat berbayar dan memiliki batas waktu. Kalau saya tidak mencoba mengirim ulang pesan secara manual, bisa saja waktu konsultasi terbuang karena dokter tidak menerima pesan yang ingin disampaikan",,,2026-06-03T05:48:01Z,14:46:28,"Halo thv. gf, terima kasih atas ulasannya dan mohon maaf atas keluhan yang dialami.

Kami ingin memahami lebih lanjut agar bisa segera memperbaikinya. Mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com. Sertakan juga nomor HP akun Halodoc dan/atau nomor pesanan.

Terima kasih.",,,,2026-08-20T10:40:00,,,Mixed,,,,,https://appfollow.io/gp/2110/review/5743990074?s=global4,https://watch.appfollow.io/apps/my-first-workspace/reviews/256372?review_id=5743990074,,,
cbffc6b8-38cb-4093-bc32-db04052b2ce0,2026-05-29T14:15:48Z,com.linkdokter.halodoc.android,"Halodoc: Dokter, Obat & Lab",,id,,RR Studio,3,,"agak susah connect, padahal jaringan lancar",,,2026-05-29T16:54:17Z,02:38:29,"Halo RR Studio, terima kasih atas ulasannya dan mohon maaf atas keluhan yang dialami.

Kami ingin memahami lebih lanjut agar bisa segera memperbaikinya. Mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com. Sertakan juga nomor HP akun Halodoc dan/atau nomor pesanan.

Terima kasih.",,,,2026-08-20T10:40:00,,,Negative,,,,,https://appfollow.io/gp/2110/review/5743990118?s=global4,https://watch.appfollow.io/apps/my-first-workspace/reviews/256372?review_id=5743990118,,,
926f85d8-fd91-4ab9-80c9-67efd66e4681,2026-05-15T08:50:59Z,com.linkdokter.halodoc.android,"Halodoc: Dokter, Obat & Lab",,id,,Gita Cahyani,3,,kenapaa aku ga bisa masuk ya disuruh isi nomer telpon udaj diklik kirim kode lewat wa tapi malah ga jalan²,,,2026-05-15T11:08:57Z,02:17:58,"Halo Gita Cahyani, terima kasih atas ulasannya dan mohon maaf atas keluhan yang dialami.

Kami ingin memahami lebih lanjut agar bisa segera memperbaikinya. Mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com. Sertakan juga nomor HP akun Halodoc dan/atau nomor pesanan.

Terima kasih.",,,,2026-08-20T10:40:12,,,,,,,,https://appfollow.io/gp/2110/review/5743991339?s=global4,https://watch.appfollow.io/apps/my-first-workspace/reviews/256372?review_id=5743991339,,,
1265bc63-8653-45c0-ba48-5d622c887f0e,2026-04-29T04:01:35Z,com.linkdokter.halodoc.android,"Halodoc: Dokter, Obat & Lab",,id,,Pengkuh anggarjito “Ketut”,3,,ketika mau bayar balik lagi ke menu pencarian👎,,,2026-04-29T11:39:46Z,07:38:11,"Halo Pengkuh anggarjito “Ketut”, terima kasih atas ulasannya dan mohon maaf atas keluhan yang dialami.

Kami ingin memahami lebih lanjut agar bisa segera memperbaikinya. Mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com. Sertakan juga nomor HP akun Halodoc dan/atau nomor pesanan.

Terima kasih.",,,,2026-08-20T10:40:21,,,,,,,,https://appfollow.io/gp/2110/review/5743992607?s=global4,https://watch.appfollow.io/apps/my-first-workspace/reviews/256372?review_id=5743992607,,,
1f9a597c-3fcf-4cfc-a850-a88c2fb18091,2026-04-29T01:38:06Z,com.linkdokter.halodoc.android,"Halodoc: Dokter, Obat & Lab",,id,,godjink aja,3,,"lacak pengantan muter2 mulu, chat cs sama muter2 terus ga bisa dibuka",,,2026-04-29T03:48:22Z,02:10:16,"Halo godjink aja, terima kasih atas ulasannya dan mohon maaf atas keluhan yang dialami.

Kami ingin memahami lebih lanjut agar bisa segera memperbaikinya. Mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com. Sertakan juga nomor HP akun Halodoc dan/atau nomor pesanan.

Terima kasih.",,,,2026-08-20T10:40:21,,,,,,,,https://appfollow.io/gp/2110/review/5743992611?s=global4,https://watch.appfollow.io/apps/my-first-workspace/reviews/256372?review_id=5743992611,,,
